date,location,target,assay,conc,type,frequency,lod,label
2021-09-21,Outlet,cyrA,toxins,NA,Grab,Weekly,180,italic(`cyrA`)
2021-09-21,Inlet,sxtA,toxins,NA,Passive,Weekly,260,italic(`sxtA`)
2021-09-21,Outlet,sxtA,toxins,NA,Passive,Weekly,260,italic(`sxtA`)
2021-09-21,Inlet,sxtA,toxins,NA,Grab,Weekly,180,italic(`sxtA`)
2021-09-21,Outlet,sxtA,toxins,NA,Grab,Weekly,180,italic(`sxtA`)
2021-09-21,Inlet,mcyE/ndaF,toxins,NA,Passive,Weekly,260,italic(`mcyE/ndaF`)
2021-09-21,Outlet,mcyE/ndaF,toxins,147.5500244912651,Passive,Weekly,260,italic(`mcyE/ndaF`)
2021-09-21,Inlet,mcyE/ndaF,toxins,178.16128359539235,Grab,Weekly,180,italic(`mcyE/ndaF`)
2021-09-21,Outlet,mcyE/ndaF,toxins,954.6747562689293,Grab,Weekly,180,italic(`mcyE/ndaF`)
2021-09-21,Inlet,16S rRNA,16s rrna,160071.9875766062,Passive,Weekly,260,NA
2021-09-21,Outlet,16S rRNA,16s rrna,158563.37034441042,Passive,Weekly,260,NA
2021-09-21,Inlet,16S rRNA,16s rrna,64152.19586982592,Grab,Weekly,180,NA
2021-09-21,Outlet,16S rRNA,16s rrna,119289.92717776827,Grab,Weekly,180,NA
2021-09-23,Intake,cyrA,toxins,8.061166324903846,Passive,Weekly,260,italic(`cyrA`)
2021-09-23,Intake,sxtA,toxins,NA,Passive,Weekly,260,italic(`sxtA`)
2021-09-23,Intake,mcyE/ndaF,toxins,1464.4550625161278,Passive,Weekly,260,italic(`mcyE/ndaF`)
2021-09-23,Intake,16S rRNA,16s rrna,184065.32218185463,Passive,Weekly,260,NA
2021-09-28,Inlet,16S rRNA,16s rrna,198862.02713597415,Passive,Bi-Weekly,260,NA
2021-09-28,Inlet,16S rRNA,16s rrna,103025.25716988355,Grab,Weekly,180,NA
2021-09-28,Outlet,16S rRNA,16s rrna,162429.83153319734,Grab,Weekly,180,NA
2021-09-28,Inlet,16S rRNA,16s rrna,177054.68981067996,Passive,Weekly,260,NA
2021-09-28,Inlet,cyrA,toxins,110.36899725987062,Passive,Weekly,260,italic(`cyrA`)
2021-09-28,Inlet,cyrA,toxins,63.46871737358917,Passive,Bi-Weekly,260,italic(`cyrA`)
2021-09-28,Inlet,cyrA,toxins,54.85430501708706,Grab,Weekly,180,italic(`cyrA`)
2021-09-28,Outlet,cyrA,toxins,587.6566043487819,Grab,Weekly,180,italic(`cyrA`)
2021-09-28,Inlet,sxtA,toxins,NA,Passive,Weekly,260,italic(`sxtA`)
2021-09-28,Inlet,sxtA,toxins,NA,Passive,Bi-Weekly,260,italic(`sxtA`)
2021-09-28,Inlet,sxtA,toxins,NA,Grab,Weekly,180,italic(`sxtA`)
2021-09-28,Outlet,sxtA,toxins,NA,Grab,Weekly,180,italic(`sxtA`)
2021-09-28,Inlet,mcyE/ndaF,toxins,46.74721441859464,Passive,Weekly,260,italic(`mcyE/ndaF`)
2021-09-28,Inlet,mcyE/ndaF,toxins,47.20087743485496,Passive,Bi-Weekly,260,italic(`mcyE/ndaF`)
2021-09-28,Inlet,mcyE/ndaF,toxins,751.8176511208294,Grab,Weekly,180,italic(`mcyE/ndaF`)
2021-09-28,Outlet,mcyE/ndaF,toxins,20597.725226031416,Grab,Weekly,180,italic(`mcyE/ndaF`)
2021-09-29,Intake,cyrA,toxins,91.78819867166644,Passive,Weekly,260,italic(`cyrA`)
